brand_name,news_title,source,publish_time,news_url,summary,sentiment,news_type,keywords,risk_hint,query_date
mixue_bingcheng,蜜雪冰城被曝冰淇淋吃出机器配件,现代快报,2026-07-14,https://www.zgcsb.com/,消费者在盐城射阳门店购买冰淇淋时吃出约两厘米长塑料机器配件门店仅愿赔50元,负面,食品安全,食品安全配件脱落赔偿,食品安全舆情风险,2026-07-24
mixue_bingcheng,市值蒸发超1500亿港元雪王不受资本待见了？,36氪,2026-07-23,https://36kr.com/,海外门店一年净减超400家；加码咖啡赛道与幸运咖形成冲突,负面,经营动态,市值蒸发海外收缩内部竞争,品牌扩张策略风险,2026-07-24
mixue_bingcheng,蜜雪冰城回应饮品品质差异质疑,中国经济网,2026-05-26,https://finance.ce.cn/,网友反映不同门店同款饮品口感色泽用料差异大被质疑AB货,中性,品牌舆情,AB货品质差异门店管理,品控一致性风险,2026-07-24
luckin_coffee,瑞幸咖啡茶饮销售额破200亿元,新浪财经,2026-06-08,https://finance.sina.com.cn/,截至5月31日现制茶饮及非咖品类总销售额超200亿全球门店超3.5万家,正面,经营动态,茶饮销售额增长,无明显风险,2026-07-24
luckin_coffee,瑞幸去冰不补液引发杯量争议,新京报,2026-06-06,https://moment.rednet.cn/,消费者反映超大杯拿铁去冰后仅半杯店员称配方固定去冰不补液,负面,消费投诉,杯量争议去冰消费者权益,品牌口碑风险,2026-07-24
luckin_coffee,瑞幸百亿活菌吸管走红,北京商报,2026-07-24,https://www.bbtnews.com.cn/,乳酸菌美式配备百亿活菌吸管意外出圈网友热议,正面,产品创新,活菌吸管创新热搜,无明显风险,2026-07-24
starbucks,星巴克消费入座引热议,封面新闻,2026-07-06,https://www.163.com/,天津门店放置消费入座牌网友争议客服未正面回应,中性,品牌舆情,消费入座争议,品牌形象风险,2026-07-24
starbucks,星巴克中国女员工被要求卖粽遭客户陪睡要求,星岛头条,2026-05-05,https://www.stheadline.com/,为促销端午节星冰粽向员工施压女员工推销后遭客户骚扰,负面,员工权益,销售压力职场骚扰丑闻,品牌声誉风险,2026-07-24
chagee,霸王茶姬小程序0元购致歉,凤凰网,2026-07-02,https://news.ifeng.com/,运营后台配置失误致产品0元上架产生数万杯订单补偿兑换券,负面,运营事故,系统异常0元购致歉,运营管理风险,2026-07-24
chagee,霸王茶姬一季度增收不增利,南方都市报,2026-05-29,https://m.mp.oeeee.com/,Q1收入35.46亿+4.52%净利润4.47亿-33.91%；加盟店减97家直营店增175家,中性,财报,增收不增利直营化结构调整,盈利下滑风险,2026-07-24
naixue_tea,奈雪的茶门店首降陷入收缩式增长困境,钛媒体,2026-03-27,https://tidenews.com.cn/,2025年门店净减少152家直营收缩165家自上市以来首次缩水,负面,经营动态,门店收缩增长困境,品牌扩张停滞风险,2026-07-24
naixue_tea,奈雪的茶饮品异物事件,百度百科,2025-06-01,https://baike.baidu.com/,消费者在茶中喝出青蛙经调解赔偿1000元,负面,食品安全,异物食品安全赔偿,食品安全舆情风险,2026-07-24
chabaidao,茶百道咖啡业务覆盖门店增至2700家,新浪财经,2026-06-22,https://finance.sina.com.cn/,咖啡业务从年初200家增至超2700家远超全年2000家目标,正面,经营动态,咖啡业务超预期增长,无明显风险,2026-07-24s
