city,target_brand,same_category_store_count,major_competitors,competition_level,market_heat,opportunity_points,risk_points
北京,蜜雪冰城,301,茶百道;霸王茶姬;喜茶;奈雪的茶;古茗,high,high,第三方城市样本可用于初步比较，仍需补充商圈租金、客流和外卖销量。,第三方样本评级：高；原始建议：市场已极度饱和，竞争惨烈，新店存活率极低，不建议新进入。。该内容是辅助信号，不直接作为最终规则分数。
北京,瑞幸咖啡,300,库迪咖啡;星巴克,high,high,第三方城市样本可用于初步比较，仍需补充商圈租金、客流和外卖销量。,第三方样本评级：高；原始建议：同蜜雪冰城，市场红海，需极强的点位和运营能力，风险高。。该内容是辅助信号，不直接作为最终规则分数。
北京,库迪咖啡,300,瑞幸咖啡;星巴克,high,high,第三方城市样本可用于初步比较，仍需补充商圈租金、客流和外卖销量。,第三方样本评级：高；原始建议：数量与瑞幸相当，但评分略低，价格战激烈，投资风险高。。该内容是辅助信号，不直接作为最终规则分数。
北京,茶百道,401,蜜雪冰城;霸王茶姬;喜茶;奈雪的茶;古茗,high,high,第三方城市样本可用于初步比较，仍需补充商圈租金、客流和外卖销量。,第三方样本评级：高；原始建议：市场饱和度高，需与蜜雪、喜茶等品牌直接竞争，风险大。。该内容是辅助信号，不直接作为最终规则分数。
北京,星巴克,400,瑞幸咖啡;库迪咖啡,medium_high,high,第三方城市样本可用于初步比较，仍需补充商圈租金、客流和外卖销量。,第三方样本评级：中高；原始建议：虽饱和，但品牌壁垒高，客群稳定。适合有资金实力的投资者。。该内容是辅助信号，不直接作为最终规则分数。
北京,霸王茶姬,401,蜜雪冰城;茶百道;喜茶;奈雪的茶;古茗,medium_high,high,第三方城市样本可用于初步比较，仍需补充商圈租金、客流和外卖销量。,第三方样本评级：中高；原始建议：同星巴克，增长迅猛，但竞争激烈，需差异化运营。。该内容是辅助信号，不直接作为最终规则分数。
北京,喜茶,431,蜜雪冰城;茶百道;霸王茶姬;奈雪的茶;古茗,medium_high,high,第三方城市样本可用于初步比较，仍需补充商圈租金、客流和外卖销量。,第三方样本评级：中高；原始建议：品牌力强，但门店也很多，需选准高客流位置。。该内容是辅助信号，不直接作为最终规则分数。
北京,奈雪的茶,471,蜜雪冰城;茶百道;霸王茶姬;喜茶;古茗,medium,medium,第三方城市样本可用于初步比较，仍需补充商圈租金、客流和外卖销量。,第三方样本评级：中；原始建议：市场仍有空间，但定位中高端，投资门槛和运营要求高。。该内容是辅助信号，不直接作为最终规则分数。
北京,幸运咖,1001,蜜雪冰城;瑞幸咖啡;库迪咖啡;茶百道;星巴克,medium,medium,第三方城市样本可用于初步比较，仍需补充商圈租金、客流和外卖销量。,第三方样本评级：中；原始建议：数量中等但评分偏低，需评估低价策略的可持续性。。该内容是辅助信号，不直接作为最终规则分数。
北京,古茗,500,蜜雪冰城;茶百道;霸王茶姬;喜茶;奈雪的茶,low,medium,第三方城市样本可用于初步比较，仍需补充商圈租金、客流和外卖销量。,第三方样本评级：低；原始建议：新进入者，市场处于培育期，机遇与风险并存。。该内容是辅助信号，不直接作为最终规则分数。
