merchant_id,merchant_name,brand_name,city,district,business_area_type,opening_months,average_ticket,takeaway_rating,monthly_revenue,rent_ratio,labor_cost_ratio,purchase_cost_ratio,debt_ratio,competitor_density,negative_review_keywords,franchise_type,has_contract_risk,recent_public_opinion_risk
M001,春熙路蜜雪加盟店,蜜雪冰城,成都,锦江区,核心商圈,30,9,4.7,230000,0.12,0.18,0.34,0.22,11,排队慢|堂食拥挤,成熟加盟,false,false
M002,万象城古茗店,古茗,杭州,上城区,购物中心,22,15,4.6,210000,0.19,0.20,0.32,0.26,9,出餐慢,成熟加盟,false,false
M003,大学城茶百道店,茶百道,武汉,洪山区,学校周边,18,14,4.4,165000,0.13,0.19,0.35,0.34,8,甜度不稳|配送慢,成熟加盟,true,false
M004,社区喜茶标准店,喜茶,深圳,南山区,社区商业,14,24,4.5,188000,0.21,0.22,0.33,0.30,6,价格偏高,直营或联营,false,false
M005,写字楼奈雪店,奈雪的茶,上海,浦东新区,办公商圈,26,31,4.3,260000,0.25,0.24,0.31,0.38,7,等位久|价格高,直营或联营,true,false
M006,地铁口霸王茶姬店,霸王茶姬,南京,秦淮区,交通枢纽,10,21,4.8,220000,0.16,0.18,0.30,0.28,10,高峰排队,成熟加盟,false,false
M007,产业园瑞幸店,瑞幸咖啡,苏州,工业园区,办公商圈,36,16,4.7,240000,0.10,0.16,0.28,0.20,12,取餐拥挤,成熟加盟,false,false
M008,社区库迪店,库迪咖啡,合肥,蜀山区,社区商业,9,12,4.2,118000,0.17,0.20,0.30,0.42,14,口味不稳|活动变动,成熟加盟,true,true
M009,下沉市场幸运咖店,幸运咖,郑州,金水区,社区商业,20,9,4.5,138000,0.11,0.17,0.33,0.24,7,配送慢,成熟加盟,false,false
M010,商场星巴克店,星巴克,北京,朝阳区,购物中心,48,36,4.6,310000,0.28,0.23,0.25,0.18,6,价格高,直营或联营,false,false
M011,街边Manner店,Manner,上海,徐汇区,核心商圈,16,19,4.4,170000,0.18,0.21,0.27,0.29,13,座位少,直营或联营,false,false
M012,商业街M Stand店,M Stand,广州,天河区,核心商圈,13,34,4.3,185000,0.27,0.25,0.29,0.41,9,装修味|价格高,直营或联营,true,false
M013,城郊蜜雪加盟店,蜜雪冰城,重庆,沙坪坝区,社区商业,24,8,4.6,145000,0.09,0.16,0.36,0.21,5,排队慢,成熟加盟,false,false
M014,高铁站瑞幸店,瑞幸咖啡,长沙,雨花区,交通枢纽,28,15,4.5,205000,0.15,0.18,0.29,0.25,10,取餐慢,成熟加盟,false,false
M015,商圈库迪快取店,库迪咖啡,南昌,红谷滩区,办公商圈,7,11,4.1,98000,0.20,0.21,0.31,0.45,15,口味淡|优惠少,成熟加盟,true,true
M016,高校古茗店,古茗,西安,雁塔区,学校周边,19,13,4.7,176000,0.12,0.18,0.33,0.23,8,高峰拥挤,成熟加盟,false,false
M017,社区茶百道店,茶百道,天津,南开区,社区商业,11,15,4.2,120000,0.16,0.20,0.34,0.36,10,出餐慢|服务一般,成熟加盟,true,false
M018,商场霸王茶姬店,霸王茶姬,厦门,思明区,购物中心,8,22,4.8,240000,0.22,0.20,0.30,0.32,11,排队久,成熟加盟,false,false
M019,社区精品咖啡店,自营咖啡,成都,武侯区,社区商业,15,28,4.6,90000,0.14,0.23,0.30,0.28,6,品类少,自营单店,false,false
M020,区域连锁茶饮店,区域品牌,佛山,禅城区,社区商业,32,12,4.4,132000,0.10,0.18,0.35,0.33,7,包装一般,区域连锁,false,false

