brand_id,brand_name,main_company,category,headquarters,listed_status,stock_code,store_count_estimate,price_band,main_cities,brand_positioning,source_name,source_url,query_date
mixue,蜜雪冰城,,茶饮,河南郑州,已上市,02097,48300,7-9元,,成立年份：1997；官网：mixue.com,队友采集数据,https://mp.weixin.qq.com/,2026-07-24
luckin,瑞幸咖啡,,咖啡,福建厦门,已上市,LKNCY,35000,10-20元,,成立年份：2017；官网：luckincoffee.com,队友采集数据,https://post.smzdm.com/,2026-07-24
starbucks,星巴克,,咖啡,美国西雅图,已上市,SBUX,8703,35-45元,,成立年份：1971；官网：starbucks.com.cn,队友采集数据,https://m.21jingji.com/,2026-07-24
chagee,霸王茶姬,,茶饮,云南昆明,已上市,CHGY,7531,16-25元,,成立年份：2017；官网：chagee.com,队友采集数据,https://m.mp.oeeee.com/,2026-07-24
nayuki,奈雪的茶,,茶饮,广东深圳,已上市,02150,1646,20-35元,一线及新一线城市,成立年份：2015；官网：naixuecha.com,队友采集数据,https://baike.baidu.com/,2026-07-24
chabaidao,茶百道,,茶饮,四川成都,已上市,02555,8621,10-20元,,成立年份：2008；官网：chabaidao.com,队友采集数据,https://baike.baidu.com/,2026-07-24
guming,古茗,,茶饮,浙江台州,已上市,01364,14000,12-18元,,成立年份：2010；官网：guming.com,队友采集数据,https://m.winshang.com/,2026-07-24
cotti,库迪咖啡,,咖啡,福建厦门,未上市,,10000,9.9-15元,,成立年份：2022；官网：cotti.com,队友采集数据,https://post.smzdm.com/,2026-07-24
heytea,喜茶,,茶饮,广东江门,未上市,,3000,20-30元,一二线城市,成立年份：2012；官网：heytea.com,队友采集数据,https://www.xiaohongshu.com/,2026-07-24
auntea_jenny,沪上阿姨,,茶饮,上海,未上市,,554,10-20元,,成立年份：2013；官网：aunteajenny.com,队友采集数据,https://www.cyjm88.cn/,2026-07-24
chayan_yuese,茶颜悦色,,茶饮,湖南长沙,未上市,,1000,15-25元,湖南/湖北/重庆/江苏,成立年份：2013；官网：chayanyuese.com,队友采集数据,https://finance.eastmoney.com/,2026-07-24
tims,Tims天好咖啡,,咖啡,加拿大,已上市,THCH,0,25-40元,一二线城市,成立年份：1964；官网：tims.cn,队友采集数据,https://www.yilantop.com/,2026-07-24
lelecha,乐乐茶,,茶饮,上海,未上市,,500,18-30元,一二线城市,成立年份：2015；官网：lelecha.com,队友采集数据,https://www.jiemian.com/,2026-07-24
