brand_id,brand_name,category,price_band,store_scale,franchise_maturity,public_sentiment,risk_tags
B001,蜜雪冰城,大众茶饮,6-12元,超大规模,5,门店密度高且加盟成熟,低价竞争|门店密度
B002,古茗,大众茶饮,10-18元,大规模,5,区域扩张稳定,加盟管理|区域竞争
B003,茶百道,大众茶饮,10-20元,大规模,4,产品线覆盖广,新品依赖|加盟扩张
B004,喜茶,中高端茶饮,18-30元,中大规模,3,品牌认知度高,高客单价|产品创新
B005,奈雪的茶,中高端茶饮,20-35元,中等规模,2,直营体验突出,门店成本|高租金
B006,霸王茶姬,中高端茶饮,16-28元,快速扩张,4,国风茶饮热度高,扩张速度|品牌热度
B007,瑞幸咖啡,大众咖啡,9-20元,超大规模,4,数字化运营能力强,价格补贴|补贴依赖
B008,库迪咖啡,大众咖啡,8-18元,快速扩张,3,价格竞争活跃,价格战|履约波动
B009,幸运咖,大众咖啡,6-12元,中大规模,4,低价咖啡样本典型,低毛利|下沉市场
B010,星巴克,品质及场景,28-42元,大规模,2,第三空间品牌稳定,高客单价|租金压力
B011,Manner,品质及场景,15-25元,中等规模,2,精品小店模式鲜明,点位依赖|人工效率
B012,M Stand,品质及场景,25-45元,中等规模,2,场景化消费明显,装修投入|客流波动

