city,brand_name,category,store_count_estimate,sample_date,source_name,source_url,note
北京,蜜雪冰城,茶饮,200,2026-07-26,队友城市品牌风险样本,,原始门店数量：200+；平均评分：4.2；第三方综合风险评级：高；第三方建议：市场已极度饱和，竞争惨烈，新店存活率极低，不建议新进入。。门店数按区间下限导入，须通过地图或官方数据核验。
北京,瑞幸咖啡,咖啡,200,2026-07-26,队友城市品牌风险样本,,原始门店数量：200+；平均评分：4.3；第三方综合风险评级：高；第三方建议：同蜜雪冰城，市场红海，需极强的点位和运营能力，风险高。。门店数按区间下限导入，须通过地图或官方数据核验。
北京,库迪咖啡,咖啡,200,2026-07-26,队友城市品牌风险样本,,原始门店数量：200+；平均评分：4.1；第三方综合风险评级：高；第三方建议：数量与瑞幸相当，但评分略低，价格战激烈，投资风险高。。门店数按区间下限导入，须通过地图或官方数据核验。
北京,茶百道,茶饮,100,2026-07-26,队友城市品牌风险样本,,原始门店数量：100+；平均评分：4.2；第三方综合风险评级：高；第三方建议：市场饱和度高，需与蜜雪、喜茶等品牌直接竞争，风险大。。门店数按区间下限导入，须通过地图或官方数据核验。
北京,星巴克,咖啡,100,2026-07-26,队友城市品牌风险样本,,原始门店数量：100+；平均评分：4.5；第三方综合风险评级：中高；第三方建议：虽饱和，但品牌壁垒高，客群稳定。适合有资金实力的投资者。。门店数按区间下限导入，须通过地图或官方数据核验。
北京,霸王茶姬,茶饮,100,2026-07-26,队友城市品牌风险样本,,原始门店数量：100+；平均评分：4.5；第三方综合风险评级：中高；第三方建议：同星巴克，增长迅猛，但竞争激烈，需差异化运营。。门店数按区间下限导入，须通过地图或官方数据核验。
北京,喜茶,茶饮,70,2026-07-26,队友城市品牌风险样本,,原始门店数量：70+；平均评分：4.5；第三方综合风险评级：中高；第三方建议：品牌力强，但门店也很多，需选准高客流位置。。门店数按区间下限导入，须通过地图或官方数据核验。
北京,奈雪的茶,茶饮,30,2026-07-26,队友城市品牌风险样本,,原始门店数量：30+；平均评分：4.4；第三方综合风险评级：中；第三方建议：市场仍有空间，但定位中高端，投资门槛和运营要求高。。门店数按区间下限导入，须通过地图或官方数据核验。
北京,幸运咖,未知,20,2026-07-26,队友城市品牌风险样本,,原始门店数量：20+；平均评分：4.1；第三方综合风险评级：中；第三方建议：数量中等但评分偏低，需评估低价策略的可持续性。。门店数按区间下限导入，须通过地图或官方数据核验。
北京,古茗,茶饮,1,2026-07-26,队友城市品牌风险样本,,原始门店数量：1；平均评分：N/A；第三方综合风险评级：低；第三方建议：新进入者，市场处于培育期，机遇与风险并存。。门店数按区间下限导入，须通过地图或官方数据核验。
上海,蜜雪冰城,茶饮,200,2026-07-26,队友城市品牌风险样本,,原始门店数量：200+；平均评分：4.2；第三方综合风险评级：高；第三方建议：竞争极度激烈，一线城市成本高，新店回本周期长，风险高。。门店数按区间下限导入，须通过地图或官方数据核验。
